stock1,stock2,p_value,hedge_ratio,intercept,is_cointegrated,residuals,cluster,half_life,hurst_exponent,spread_volatility
ABT,MRK,0.001092562980071013,-0.6168182179488001,178.34427619496424,True,"[-2.53237051e+01 -2.27782957e+01 -2.36005277e+01 -2.14740353e+01
 -2.10632021e+01 -2.06101558e+01 -2.03364736e+01 -2.07453796e+01
 -2.20950977e+01 -2.00339940e+01 -1.86167032e+01 -1.74811812e+01
 -1.62558133e+01 -1.63861417e+01 -1.61660875e+01 -1.80364522e+01
 -1.76691440e+01 -1.56645365e+01 -1.52277244e+01 -1.30858373e+01
 -1.20553445e+01 -1.37652096e+01 -1.24815614e+01 -1.18725361e+01
 -1.35134714e+01 -1.18731536e+01 -1.05794103e+01 -1.04278235e+01
 -9.68470636e+00 -8.63672282e+00 -8.80834555e+00 -6.55714559e+00
 -5.98172414e+00 -3.26960802e+00 -3.32023531e+00 -1.68734252e+00
 -7.57010704e-01  1.10082073e+00  5.11467690e-01  1.03425625e+00
  7.97870287e-01  7.52139063e-01  1.07843572e+00  1.93048354e+00
  1.76221203e+00  1.81780722e+00 -1.86540616e+00  4.88432907e-01
  4.65715382e-01  2.12643516e+00  2.37721940e+00  1.54457546e+00
  6.10842779e+00  3.82483694e+00  3.24585651e+00  5.92649176e+00
  5.60370420e+00  4.25095815e+00  2.97450638e+00  3.60644722e+00
  2.50841363e+00  3.43215043e+00  5.38000479e+00  6.46725462e+00
  8.76495021e+00  1.03918842e+01  1.21691059e+01  1.27054072e+01
  1.16049040e+01  1.24022792e+01  1.25404854e+01  1.05702489e+01
  1.04400345e+01  1.01146197e+01  7.89432405e+00  9.26273892e+00
  1.09304328e+01  1.06831351e+01  9.51261798e+00  9.99952288e+00
  9.12760301e+00  7.34419928e+00  4.68874988e+00  1.69288733e+00
  2.83537549e+00  2.19949235e+00  2.07409155e+00  1.30031480e+00
  1.61637707e+00  3.18032047e+00  8.75368691e+00  9.04520620e+00
  6.96341737e+00  6.51985400e+00  5.54007028e+00  3.09326178e+00
  4.34093513e+00  2.84362591e+00  4.78807034e+00  3.58366658e+00
  3.50198769e+00  1.52193407e+00  1.57246160e+00  1.21972985e+00
 -1.81434534e+00 -2.50871979e+00 -2.32680522e-01  2.44578089e-01
  7.14588963e-01  1.04912370e-01  2.26060398e+00  3.19352898e+00
  2.30658483e+00  5.14857716e-01  5.79117227e-01 -9.75649066e-02
 -5.57470928e-01 -7.74857289e-01  1.39049279e+00 -2.92108874e-01
 -1.55085750e-01 -1.86923459e-01 -6.10005664e-01 -1.71846767e+00
  6.48163262e-01  4.21001520e-01 -1.54824639e-01 -1.12731901e+00
 -1.50532029e+00  5.01633498e-01 -7.75122323e-02 -1.28929160e+00
 -5.22948612e+00 -6.52646496e+00 -6.34975149e+00 -5.31931183e+00
 -2.96710041e+00 -2.25265540e+00 -2.01235811e+00 -3.73419935e-01
  2.93082852e+00  3.32499198e+00  1.89818728e+00 -4.54481254e-01
 -1.84559427e+00 -1.55751077e+00 -2.49589532e+00 -1.68170129e+00
  1.81775409e+00  1.61222338e+00  2.52762475e+00  2.68858289e+00
  1.25690436e+00  4.08217268e-02 -4.23503196e+00 -2.50247483e+00
 -2.60882458e+00 -4.55901378e+00 -2.56245056e+00 -4.80443015e+00
 -5.11718639e+00 -3.00270599e+00 -9.18068094e-01 -1.59410714e+00
 -2.07495011e+00 -3.89281289e+00 -1.71240826e+00 -7.18442622e+00
 -4.37184137e+00 -2.76830354e+00 -3.34694690e+00  8.25466499e-01
 -4.85748700e-01 -1.53762713e+00 -5.07807647e-01 -7.37375954e+00
 -8.02070846e+00 -3.50069977e+00 -1.55226742e+00 -5.87761193e+00
 -5.71315872e+00 -4.49164487e+00 -3.82257513e+00 -4.47599396e+00
 -5.99707672e+00 -5.02961826e+00 -3.89648198e+00 -3.03035424e+00
 -2.75905335e+00 -1.43680715e+00 -2.11519371e+00 -9.83721944e-01
  1.70502347e-02  6.22898684e-01  4.37687408e-01  9.64297665e-01
  1.30069286e+00  1.19938118e+00  2.28248553e+00  2.53538790e+00
  1.82055464e+00  2.19914353e+00  2.49838781e+00  3.57304268e+00
  4.18999414e+00  3.32549704e+00  3.86921379e+00  3.80960729e+00
  6.71811463e+00  7.40279077e+00  4.43636916e+00  2.88466635e+00
  2.40940415e+00  2.57766487e+00  7.43277786e-01 -1.06597897e-01
 -9.64833806e-01 -9.00995537e-01  5.65023596e-01  8.27313680e-01
 -6.76678667e-01 -3.18406070e+00 -3.02744082e+00 -3.02600741e+00
 -1.82710432e+00  5.03147025e-01 -3.36641141e-01  3.48039706e-01
  1.42803378e+00  1.88451873e+00  2.96138275e+00  2.63156860e+00
  3.47916423e+00 -2.79922417e-01 -9.55295394e-01 -2.36506334e-01
 -9.95141491e-01 -4.40210072e+00 -4.40061600e+00 -5.35554785e+00
 -3.67082022e+00 -6.22365399e+00 -1.35262976e+00 -2.29089594e+00
 -2.34324018e+00 -3.80315246e+00 -5.01354450e+00 -2.70666491e+00
 -3.80315246e+00 -5.43524919e+00 -6.16981987e+00 -6.94989188e+00
 -7.31538439e+00 -5.73383973e+00 -5.97146726e+00 -6.61382765e+00
 -3.86917214e+00 -3.78292520e+00 -2.24212440e+00 -2.13536480e+00
 -2.71594511e-01 -1.32853573e+00 -3.86472382e+00 -3.63750175e+00
 -4.23705106e+00 -3.31335143e+00 -3.57713631e+00 -3.84775863e+00
 -4.91838272e+00 -6.99657074e+00 -6.37918412e+00 -6.40417002e+00
 -7.82752691e+00 -7.16997991e+00 -9.53593026e+00 -8.34756534e+00
 -7.45255597e+00 -6.58264056e+00 -6.09305472e+00 -5.34071586e+00
 -5.71744518e+00 -8.66411861e+00 -7.69436764e+00 -7.55637366e+00
 -7.19162067e+00 -7.61919356e+00 -6.48646282e+00 -6.35374600e+00
 -8.61740415e+00 -6.71652776e+00 -7.68078695e+00 -8.72910114e+00
 -5.59116147e+00 -7.68212249e+00 -5.42387452e+00 -4.78294354e+00
  1.15348930e+00  2.29164337e+00  8.06540001e+00  5.75905430e+00
  6.72036139e+00  8.05928658e+00  7.11318551e+00  8.20775195e+00
  3.42308623e+00  5.70175068e+00  9.42119751e-01  1.31905100e+00
  3.00131464e+00  3.21351063e+00  1.75467313e+00  2.28773777e+00
  2.78256284e-01  2.18973567e-02  3.33065591e+00  5.60372881e+00
  8.42136243e+00  9.51218548e+00  1.04664184e+01  9.37545992e+00
  1.00061182e+01  1.31185867e+01  1.58384829e+01  1.28802491e+01
  1.33862223e+01  1.12772072e+01  1.36992039e+01  1.42640016e+01
  9.32741291e+00  6.15202448e+00  6.58268454e+00  3.36149171e+00
  4.90185751e+00  3.53754416e+00  4.21917220e+00  4.01713256e+00
  2.60338948e+00  2.97790593e+00 -1.29544842e+00 -1.53890415e-01
  4.21397293e+00  4.67681290e+00  6.80269045e+00  4.25912396e+00
  4.18142892e+00  3.75849466e+00 -6.31011406e+00 -6.07114119e+00
 -8.31745069e+00 -3.47898968e+00 -8.62146730e+00 -5.28776717e+00
 -4.22833122e+00 -5.83980372e+00 -3.55783137e+00 -1.35791650e+00
 -2.52893539e+00 -2.79774305e-02 -2.04029646e+00 -1.83098321e+00
 -6.02578387e-01  3.43518011e-01  2.22409816e+00  2.76818520e+00
  1.72386072e+00  3.59828935e+00  3.17461365e+00  1.33255937e+00
  2.26303187e+00  1.42363855e+00 -3.45555488e-01  1.11263027e+00
 -4.09925597e+00 -6.49585764e+00 -9.44066248e-01  1.25500669e+00
  2.70589337e+00  2.80649821e+00  7.69162805e-02 -9.39279413e-01
 -1.29471686e+00  3.36768087e-01 -1.43378007e+00 -4.72059185e-01
  5.17530650e-01  1.50836720e-01  8.27794925e-01  7.67809243e-01
  1.34603361e+00  1.80561022e+00  1.84490639e+00  3.78998394e+00
  4.30689964e+00  6.37360188e+00  5.48445145e+00  3.92539355e+00
  5.73844795e-01  1.31959878e+00  1.75396114e+00  2.69341823e+00
  7.56836366e+00  6.49738548e+00  2.28744458e+00  3.15606001e+00
  4.80823424e+00  6.67460011e+00  4.89793417e+00  4.33326182e+00
  3.58149734e+00  3.53158987e+00  4.82207623e+00  5.38803283e+00
  3.41895745e+00  3.61819958e+00  2.35478794e+00  3.15950430e+00
 -8.57660091e+00 -6.38341258e+00 -6.03375172e+00 -3.32473893e+00
 -1.77761877e+00 -1.88738319e+00 -6.24893098e-01 -1.21106903e+00
 -4.31839635e-01 -4.31709117e-01 -4.99841203e+00 -3.18866385e+00
 -2.12214178e-01  1.11247029e+00  5.26830052e-01  2.21986169e+00
  4.62548845e+00  1.31529343e+00  1.14172301e+00  1.00087234e+00
  9.11952889e-01  4.25664973e+00  2.78930835e+00  4.19862853e+00
  5.21845610e+00  5.64770273e+00  7.02300695e+00  5.04797450e+00
  4.57375948e+00  3.88242637e+00  3.26753813e+00  5.10765488e+00
  4.74363867e+00  4.66641009e+00  5.21422384e+00  5.74678049e+00
  4.63135261e+00  4.70007575e+00  1.76728429e+00  5.72680105e+00
  5.37278765e+00  2.37892994e+00  3.84576731e+00  5.28037292e+00
  5.91917078e+00  7.37030695e+00  7.26307671e+00  6.26491432e+00
  4.09488657e+00  2.24063469e+00  3.07173225e+00  2.64600668e+00
  6.77232292e+00  1.01286680e+01  9.26836893e+00  1.06638981e+01
  9.57711740e+00  8.12629008e+00  8.62440166e+00  8.34713599e+00
  6.67902957e+00  5.31541356e+00  6.58023292e+00  2.98630144e+00
  1.04910478e+00  2.49573436e+00  4.40946670e+00  3.24133867e+00
  3.64516520e+00  1.76993257e+00  2.47114685e+00  3.11572729e+00
  1.94741317e+00 -5.10153450e-01 -4.55202934e-01 -1.69024100e+00
 -3.62294638e+00 -8.17897010e-01 -1.75098624e+00 -4.83613264e-01
  1.23479951e+00  1.05470360e+00  4.75533885e+00  6.88375528e+00
  8.09625310e+00]",1,11.450410957694897,0.1360942722012537,6.392185973610453
MCD,MRK,0.0022718675652121313,-0.9687076994137372,382.4275439081431,True,"[-3.22231702e+01 -2.61738299e+01 -2.67452279e+01 -2.27695445e+01
 -2.18233097e+01 -2.09126646e+01 -2.01577216e+01 -2.12260180e+01
 -2.21249732e+01 -2.28919730e+01 -1.86592798e+01 -1.38131252e+01
 -1.21939437e+01 -1.07357063e+01 -1.09746609e+01 -1.26342405e+01
 -1.39619090e+01 -9.92318870e+00 -7.75353679e+00 -9.22341037e-01
 -7.01641786e+00 -1.03617073e+01 -6.66820391e+00 -5.77590272e+00
 -8.48168854e+00 -5.23405554e+00 -3.73577833e+00 -2.68660170e+00
 -7.43717911e-01  1.21851096e+00  2.09079299e+00  6.46735739e+00
  5.32623890e+00  4.83583691e+00  2.38883897e+00  5.32855201e+00
  5.30233853e+00  8.78710450e+00  8.45047086e+00  7.98119334e+00
  5.56849090e+00  5.30572011e+00  8.75289327e+00  1.49957501e+01
  1.34558816e+01  1.54058087e+01  1.49002209e+01  1.29457150e+01
  8.82711041e+00  9.29671342e+00  1.18909844e+01  9.23193579e+00
  1.95093062e+01  1.85482509e+01  7.70273535e+00  7.07733445e+00
  1.01904047e+01  1.38172926e+01  1.03929513e+01  1.02633731e+01
  8.10945525e+00  9.48436764e+00  1.36859651e+01  1.49852203e+01
  1.52049544e+01  1.71017549e+01  2.00759205e+01  2.20064752e+01
  2.08426443e+01  1.77919357e+01  1.83944815e+01  1.62442977e+01
  1.45739738e+01  1.21094440e+01  1.25356717e+01  1.37553732e+01
  1.22185737e+01  1.31594426e+01  1.46814993e+01  1.40884422e+01
  2.57778705e+00  6.75334506e-01 -8.93134690e-01 -1.50747344e+00
  3.33452123e+00  6.38163327e+00  5.28143783e+00  4.62479734e+00
  2.10075029e+00  2.29445192e+00  1.13228353e+01  1.14397549e+01
  8.88431353e+00  5.90010211e+00  3.36143301e+00 -3.96540229e+00
 -6.94294701e+00 -7.42218992e+00 -5.46911649e+00 -6.17543267e+00
 -6.77718367e+00 -8.34258874e+00 -9.04726585e+00 -1.08617791e+01
 -6.21279760e+00 -5.34775595e+00 -3.86547853e+00  6.69797410e-01
  1.86930849e+00  1.85453315e+00  4.17572221e+00  2.19562990e+00
  1.64343661e+00  3.21085638e-01  1.27535718e+00 -3.32759152e-01
 -3.88173994e+00 -4.81101787e+00 -3.95659618e+00 -3.76655173e+00
 -3.66057678e+00  2.98779151e+00 -1.27463533e+00 -2.49277988e+00
  3.43740696e+00  2.30587324e+00  1.50103521e+00 -3.03679854e+00
 -5.17946610e+00 -4.96238561e+00 -1.25393887e+01 -1.38414394e+01
 -2.13888451e+01 -2.55892614e+01 -2.42466831e+01 -1.67319087e+01
 -1.16174872e+01 -8.46451499e+00 -1.04342644e+01 -8.73810335e+00
 -1.29813652e+01 -1.45566940e+01 -1.37772209e+01 -1.50956571e+01
 -1.66190220e+01 -1.66341555e+01 -1.78249151e+01 -2.00128123e+01
 -1.55295923e+01 -9.12443441e+00 -6.08407889e+00 -9.03583661e+00
 -9.91625483e+00 -1.11447756e+01 -1.99660017e+01 -2.08735563e+01
 -2.31779983e+01 -2.27660580e+01 -2.11503375e+01 -2.49198053e+01
 -2.66507739e+01 -2.09445232e+01 -1.52075849e+01 -1.72047631e+01
 -1.91732411e+01 -1.60833968e+01 -1.20419841e+01 -1.50016611e+01
 -1.57674974e+01 -1.36460204e+01 -2.01953388e+01 -1.94270153e+01
 -2.13475857e+01 -2.13704359e+01 -9.88019802e+00 -1.66297280e+01
 -1.96072973e+01 -1.57123684e+01 -6.71784404e+00 -1.74049461e+01
 -1.69171350e+01 -1.63441564e+01 -1.32490038e+01 -1.58510634e+01
 -1.53380644e+01 -1.36678923e+01 -1.36033375e+01 -1.02397911e+01
 -6.38875011e+00  3.10930000e+00  1.91203643e+00  6.70176573e+00
  6.69850050e+00  7.04610012e+00  5.92375899e+00  7.06988762e+00
  5.38870548e+00  6.23129815e+00  7.92715586e+00  4.75551589e+00
  6.48450062e+00  9.01472610e+00  9.82368283e+00  9.30826310e+00
  9.21446222e+00  7.62295416e+00  1.01956199e+01  1.48463036e+01
  1.76835760e+01  1.51188775e+01  1.37650622e+01  1.42264394e+01
  1.70823991e+01  1.78230057e+01  1.83795614e+01  1.83601497e+01
  1.99357211e+01  2.05352538e+01  2.12151180e+01  2.08222808e+01
  1.90997807e+01  1.70220191e+01  1.69419834e+01  1.29960303e+01
  1.39567146e+01  1.74773877e+01  1.68699801e+01  1.81554171e+01
  2.28085481e+01  2.79474928e+01  2.65002050e+01  2.76137906e+01
  2.84505124e+01  2.46141018e+01  2.46989060e+01  8.70368453e+00
  1.11779774e+01  6.37759791e-01  4.95593802e+00  2.73974018e+00
  3.66590028e-01 -1.40149011e+00  1.21675985e+00 -1.09868898e+00
  3.06384112e+00 -1.03983725e+00  1.61302548e-02  5.86255545e+00
  6.31843912e+00  1.49580247e+00  1.50689838e-01  1.20234631e+00
 -6.50732549e+00 -7.76891282e+00 -8.14916865e+00 -7.13254897e+00
 -7.25638311e+00 -6.12286552e+00  1.50188992e+00  2.06838541e+00
  2.24805321e+00  1.77437849e+00 -9.57290173e-01  2.22616383e+00
  2.35780477e+00  8.69998288e+00  7.78860085e+00  1.07920067e+01
  7.53702218e+00  1.83744314e+00  3.75963414e+00  4.43070583e+00
  4.45792748e+00  2.85551049e+00 -3.87600191e+00 -3.40387459e+00
 -2.37952573e+00 -2.50307988e+00  2.26504627e-01  1.41828104e+00
  9.81726996e-02 -5.10604822e+00 -3.77581213e+00 -1.49206029e+00
  7.11252623e-01 -1.29859169e+00 -2.86649120e+00 -6.36680048e+00
 -1.14440480e+01 -8.51745095e+00 -1.17850569e+01 -1.06629722e+01
 -1.26052702e+01 -1.40333323e+01 -1.39833391e+01 -1.57492727e+01
 -1.18269425e+01 -1.18312714e+01 -2.08001479e+00 -4.44857140e+00
 -4.68944668e+00 -3.85212910e+00 -5.56710031e+00 -3.32663807e+00
 -1.21232549e+01 -1.40548358e+01 -1.01438672e+01 -1.09278502e+01
  2.12451238e+00  4.01602927e+00  6.31015465e-01  1.83306009e+00
 -9.39666172e-01 -4.33307764e+00 -4.99910337e+00 -1.94934009e+00
  1.49457006e+00  5.87444137e+00  9.12174162e+00  8.50690575e-01
  7.56446551e+00  7.54429482e+00  6.14731401e+00  7.05508387e+00
  9.30939694e+00  1.29592288e+01  2.43683827e+01  2.09199703e+01
  1.00772226e+01  1.50063640e+00  9.02606415e-01  3.07455131e+00
  8.14617769e+00  7.71385404e+00  1.03316964e+01  1.10850759e+01
  8.00410721e+00  7.47170497e+00  4.49090013e+00  1.13038572e+01
  9.93952163e+00  5.95058794e+00  1.16745168e+01  1.04131021e+01
  7.89225895e+00  1.43075683e+01 -8.32072672e+00 -8.81361507e+00
 -1.09908595e+01 -4.09614275e+00 -5.44870246e+00 -8.15756333e-01
  5.27533262e+00  9.84961597e-01 -4.18998907e+00 -5.52183817e-01
 -3.24561040e+00  8.06149756e+00  7.24985873e+00  6.05996112e+00
  9.32829159e+00  9.82488476e+00  8.98446012e+00  1.45418610e+01
  6.75705582e+00  5.01997761e+00  8.41474707e+00  5.86375530e+00
  7.26468239e+00  1.28075840e+00 -1.26876041e-01  2.36868084e+00
 -4.43393576e+00 -8.61166354e+00 -4.47037738e-01  4.83310119e+00
  8.53480104e+00  7.82368312e+00  3.56126180e+00  2.27199222e+00
  2.28215057e+00  2.66737259e+00 -7.67502660e-01 -1.51805865e+00
  8.67437120e-01  9.03718617e-01  1.46061225e+00  1.71843296e+00
 -1.47426455e+00 -1.80300439e+00 -4.02653507e+00 -6.43353832e+00
 -6.12903556e+00 -3.27256543e+00 -4.61998275e+00 -1.01506886e+01
 -1.66789813e+01 -1.83750113e+01 -2.07534129e+01 -1.76498864e+01
 -1.55574167e+01 -2.20675185e+01 -2.27937103e+01 -1.66481535e+01
 -1.59740485e+01 -8.14213753e+00 -1.04296255e+01 -1.23770386e+01
 -1.29526854e+01 -1.43513355e+01 -1.07643888e+01 -5.12731153e+00
 -4.24898131e+00 -1.99273295e+00 -6.30233337e+00 -6.14537309e+00
 -5.55657531e+00 -1.03343477e+01 -1.22803626e+01 -6.66345188e+00
 -5.43416267e+00 -8.92891337e+00 -4.38590538e+00 -4.26362188e+00
 -2.20480825e+00 -2.11426984e+00 -9.11626905e+00 -5.18986112e+00
 -3.31067262e+00 -7.84778304e+00 -3.02937895e-01  8.37747093e-01
 -1.30140286e+00 -3.01836330e+00 -5.46398561e+00  2.58372993e-01
  4.16446211e+00  5.53541812e+00  5.31634297e+00  8.21477577e+00
  1.00936635e+01  1.15949895e+01  1.36776214e+01  1.10751324e+01
  1.02710145e+01  7.88702344e+00  7.84763909e+00  1.00331028e+01
  1.53276542e+01  1.47106489e+01  1.51859294e+01  1.32090348e+01
  1.10342918e+01  1.12530956e+01  4.11675548e+00  7.68108802e+00
  2.40648134e+00 -1.87284203e+00 -5.85031565e-01  1.14339945e+00
 -2.30879171e+00 -1.08817238e+00 -1.55345316e+00 -1.77967471e+00
 -9.20616697e-01 -4.95584012e+00 -1.08587917e+00 -3.31650088e+00
  2.76610825e+00  5.40206739e+00  4.16148922e+00  4.95150915e+00
 -3.66288699e-01 -1.23905445e+00 -4.33120330e+00 -3.85562265e+00
 -2.11836114e+00  7.00688327e-01  4.18199283e+00  4.30046128e+00
  4.19639103e+00  7.79917915e+00  8.96129342e+00  9.93063836e+00
  1.25509236e+01  8.99439484e+00  8.11469919e+00  1.28187336e+01
  8.27907989e+00  3.79317658e+00  3.58254789e+00 -7.08059985e-01
 -6.14885274e+00 -1.98172419e+00  4.99171168e+00 -9.21794973e-01
  8.12558877e-01  7.07855120e-01  1.25064050e+01  1.31007747e+01
  1.61838277e+01]",1,10.570952035641449,0.15720915372348504,11.152713714674121
GE,RTX,0.004043077947458666,2.214328766092461,-75.80728105106306,True,"[-3.13041733e+00 -1.45321562e+00  5.00448798e-01  1.69838407e+00
  3.73134065e+00 -5.83676483e-02 -1.07735920e-01  9.79746967e-01
 -1.43889414e+00 -3.05159491e+00 -1.86278228e+00 -3.10177737e+00
 -5.59405567e+00 -5.68126321e+00 -6.05516268e+00 -3.73536350e+00
 -2.47599641e+00 -3.93592430e+00 -5.14367738e-01 -6.06202575e+00
 -3.02798478e+00  1.82397837e+00  1.27311691e+00 -1.02811983e+00
 -9.65565032e-01  1.08505483e+00 -1.73727227e+00 -2.87054111e+00
 -2.48710307e+00 -2.39238414e+00 -2.87298352e+00 -6.50188713e+00
 -8.82516674e+00 -7.92520597e+00 -6.57467111e+00 -5.98493525e+00
 -5.50501634e+00 -5.37595603e+00 -3.65276637e+00 -5.83800689e+00
 -5.50461372e+00 -5.40536716e+00 -4.98288941e+00 -4.11634363e+00
 -1.90809342e+00 -1.25778058e+01 -1.24656512e+01 -1.55575213e+01
 -1.34329217e+01 -1.28002830e+01 -1.16754740e+01 -1.39760403e+01
 -1.38551143e+01 -1.25581034e+01 -1.21890989e+01 -1.23769706e+01
 -1.09045341e+01 -8.57266762e+00 -7.26103502e+00 -7.90195589e+00
 -5.46633335e+00 -3.43899606e+00 -2.81597667e+00 -5.29275828e-01
 -8.91491534e-01  1.10557255e+00  3.35084881e+00  3.63073437e+00
  4.74584844e+00  3.27166324e+00  5.62344116e+00  7.17028027e+00
  8.28036755e+00  9.90691881e+00  7.09877166e+00  7.96389088e+00
  1.28662961e+01  1.33103136e+01  1.10892302e+01  1.49118168e+01
  1.57335448e+01  1.04664964e+01  9.64429856e+00  9.31176345e+00
  9.10870973e+00  9.50112315e+00  1.29063956e+01  8.98306828e+00
  7.47976753e+00  6.60413270e+00  8.80612667e+00  5.01170663e+00
  4.38384473e+00 -7.55391442e-01  1.04398315e+01  8.41269382e+00
  1.21158487e+01  1.19256045e+01  1.05190212e+01  1.31307408e+01
  1.54337441e+01  1.41490511e+01  1.33994239e+01  1.46709618e+01
  1.37842632e+01  1.11654981e+01  4.50644366e+00  6.61667315e+00
  1.93174596e+01  1.66920398e+01  1.72617791e+01  1.89855410e+01
  1.88949262e+01  1.82244231e+01  1.67680278e+01  1.82426027e+01
  2.07506640e+01  2.34801621e+01  2.14494325e+01  2.00047509e+01
  1.47939628e+01  9.46734928e+00  6.73951748e+00  7.44951856e+00
  1.16384724e+01  1.03467478e+01  9.25775776e+00  6.83965947e+00
