ticker,volatility,return,sharpe,avg_corr,max_corr,min_corr,std_corr
AAPL,0.27998161978977965,0.23175712307853052,0.8277583480392112,0.3047123239945903,0.4935992850115373,0.014895187219983374,0.10989755535658219
MSFT,0.22029509782789175,0.1902912296176497,0.8638014712715807,0.25879662781913126,0.632795885276758,-0.12388095977313518,0.16222917908564474
GOOGL,0.2989862307384668,0.41401352706757877,1.3847243936451714,0.2137042705783079,0.5396676355750892,-0.11262123244156787,0.13983553810814406
META,0.3722886609310039,0.3733792769240698,1.0029294902249737,0.24161752591433064,0.6329714366051474,-0.16533715909508814,0.15119632841914374
NVDA,0.5102068157684341,0.8023601677713832,1.5726175013223418,0.2056077417196161,0.5706828350411389,-0.2989854019850141,0.17233936605111388
AMD,0.5426961388787115,0.522056680153517,0.9619686648815329,0.24966107471415777,0.5706828350411389,-0.13334268522918896,0.14215199925777638
INTC,0.5728165343057775,0.1092714674497332,0.19076172021145354,0.2366514175167781,0.37149320645484024,0.023539036269353053,0.09315364349663793
CSCO,0.21849913501760032,0.2376917449231698,1.0878383793328221,0.312142355082946,0.49253589647197094,0.03224876585566155,0.09987815852603496
ADBE,0.33739302035058943,-0.2318313041583576,-0.6871253706358795,0.20648033308927236,0.49450048098426885,-0.012349965572888397,0.09695554658806083
CRM,0.34335552907537925,0.112218939969494,0.32683015261670006,0.24640611372747545,0.49450048098426885,-0.01280982932758502,0.10661624612211641
JPM,0.2352694096729678,0.4213535737755345,1.790940753246373,0.3708207137487847,0.8114597314105942,0.06649462001420431,0.17964096724995018
BAC,0.2523113873043058,0.35481106374031945,1.406242768236186,0.37723531387984655,0.8120682958632696,0.07567435538965053,0.19226323264864487
WFC,0.2906107614983683,0.41400887992206126,1.42461647940173,0.33882651011390696,0.8120682958632696,0.03212801353734694,0.19310295757184384
C,0.2886512272676742,0.4884157871690389,1.6920620493884735,0.38611359785394694,0.8013538513188389,0.0682070424809762,0.1807784833673672
GS,0.28504632185233325,0.5124483348092604,1.7977721356977607,0.4086809598873259,0.8667739724323281,0.05150802949046726,0.1904868161794764
MS,0.28623879304859773,0.44731313159518926,1.5627271441130073,0.3955684214756156,0.8667739724323281,0.058804858895663496,0.1887614853574728
BLK,0.23137864705455213,0.25779709416496377,1.1141784146753306,0.3975630453212042,0.6966904436283546,0.08805047622788977,0.14224196523559568
SCHW,0.26428467042924253,0.31818727385631507,1.2039566023240231,0.28140311812849844,0.6139508893575003,-0.010486783565366005,0.14381604373280668
USB,0.26850653390267254,0.20569192179506032,0.7660592790997739,0.3987020889362778,0.857614100959682,0.11317809233406563,0.17159417334095284
PNC,0.24904030545271452,0.2529273445637306,1.0156080723718601,0.3928475812041967,0.857614100959682,0.07823267076669307,0.1801698738130009
JNJ,0.17374387438591016,0.18460905507799677,1.062535618769232,0.1109310330206723,0.4628136751321503,-0.2989854019850141,0.15264162718603852
UNH,0.3835151342788351,-0.14543841374248606,-0.37922470521527035,0.06639471002750189,0.18631410933226106,-0.03168870800983472,0.052122962076281726
PFE,0.2532688141974697,0.021074096302062,0.08320841383033784,0.19335178947646398,0.48712491190477786,-0.0593586899011866,0.1158234558743554
ABBV,0.2462277349270712,0.34342749872457806,1.3947555454152876,0.18366812956712802,0.4553207378517032,-0.04610132400170512,0.10931756129758928
TMO,0.2693228242388128,0.15513259640839142,0.5760098381815307,0.30209395230827574,0.7912100312282605,0.12514409526698034,0.10190164691664845
ABT,0.1980761597374904,0.17692428186244025,0.8932134089075502,0.1361523870990489,0.4628136751321503,-0.07867604705755316,0.10076788411207768
MRK,0.25407191912130467,0.022957567633423884,0.09035853986863843,0.15116813849273997,0.4553207378517032,-0.02155959393003547,0.11157597895289444
LLY,0.3554978653088344,0.34957133333549273,0.9833289238792107,0.1527171286510707,0.3312704036382594,-0.027745137722113983,0.06685663061265137
DHR,0.2804914474592642,0.08134230658577417,0.2899992399860517,0.30408746985168655,0.7912100312282605,0.14573521530246278,0.09539285900906634
BMY,0.2821640529863471,0.06898974673254461,0.24450225321892005,0.16381248323889913,0.48712491190477786,-0.140598652874193,0.12057771370010582
AMZN,0.3119279806152658,0.3056910998338563,0.9800053821106157,0.3032870791677825,0.6329714366051474,-0.15794956343255648,0.16262227343071178
TSLA,0.6345547085736396,0.4482402682622458,0.7063855365123776,0.24558598172850407,0.44135687724921796,-0.07549988004636281,0.13025484221550115
HD,0.21010062192976342,0.13950619778113865,0.6639970719733307,0.3049939771240904,0.8763207519883961,0.08946600332992648,0.12158448402118202
NKE,0.36953149893171067,-0.1610577611173705,-0.43584311914674945,0.24118590178523536,0.39111720648387144,-0.03168870800983472,0.08519929698318529
MCD,0.17982759467245296,0.10567402996206451,0.5876407909172366,0.13276301965455445,0.3296609496566364,-0.07878054911428997,0.08525791291830052
SBUX,0.3534071199514911,-0.0179276013875638,-0.05072790098293592,0.24219738294886173,0.39111720648387144,0.018712002215453383,0.07601397213829707
TGT,0.3511331822071325,-0.0787975948025518,-0.22440942296381808,0.25444581414875284,0.4675474117451072,-0.0076274424322071025,0.09548764203178765
LOW,0.22909850687298006,0.11149293049587353,0.48665935024050144,0.301480869192821,0.8763207519883961,0.08206862601880055,0.12759785876827526
DIS,0.27824328414646554,0.11382289626712111,0.40907688613682924,0.3085980333414546,0.48414275538658225,0.023252137394281364,0.11060558631207122
COST,0.2064338563089739,0.25685474844785966,1.244247203634174,0.18828283734913379,0.37611033597499566,0.03777525472017657,0.09542215074378346
XOM,0.21418921250519973,0.12592582986131068,0.5879186369306701,0.29038646190772427,0.8069336671851011,0.01993621577011336,0.20542640206857546
CVX,0.21929164258103637,0.10181813153044628,0.4643046599134334,0.3322454577399422,0.8069336671851011,0.07073717723203184,0.19340984947134904
COP,0.2820421549191616,-0.05554579844391073,-0.19694147656697333,0.33433213465456646,0.8449567733837203,0.03266572143537318,0.20398256508242224
SLB,0.3175526907505474,-0.11432208765034714,-0.36000982192952835,0.35709625743849116,0.8100875336509531,0.05464852312684242,0.18027531759556112
EOG,0.25600592529756633,0.01466001832224332,0.057264371147673125,0.3104316801965145,0.8449567733837203,0.025008611902460377,0.1986841252452917
MPC,0.31966889178100594,0.20608085745689828,0.6446697278197376,0.3165719220431223,0.8795782652387761,0.018052382269756438,0.18621451296665184
VLO,0.332352265062065,0.2564007291391476,0.7714727898462378,0.3150414266870274,0.8795782652387761,0.023626516662444093,0.1870746772979576
PSX,0.3073472233657211,0.1791051449691386,0.5827452840073858,0.3606159283246598,0.8446529310390446,0.036816202965235245,0.18954956253087613
OXY,0.2975498602579575,-0.12721316658288054,-0.4275356287265419,0.3243858293660113,0.8101954372897754,0.0040502747284425706,0.19633650641543837
HAL,0.36080626364107266,-0.07849630256206669,-0.21755803729658701,0.3405703155853945,0.8100875336509531,0.009459233101010319,0.19045115854967756
CAT,0.29088377425427764,0.45364490524690065,1.559540082322861,0.3624327611443916,0.6503000171074483,0.011823342526829855,0.15637156933247126
BA,0.35426456515729166,0.027509615270428407,0.07765274310800539,0.262017465134324,0.4220961901873127,0.02398534876907634,0.09887172984257525
HON,0.2150663504060506,0.10303714682250877,0.4790946916055072,0.32834566182386765,0.497412630919739,0.11812715327166935,0.07841012020541485
UPS,0.2960890283988887,-0.11786585669911825,-0.39807573193941637,0.2595991827109073,0.4233883707173041,0.023944381247743524,0.0940001587413906
RTX,0.22834855066129672,0.4400041349501656,1.9268969900440136,0.21019621799272437,0.4180721650682636,0.08505859239288233,0.08131433234672444
LMT,0.21756846898566073,0.06588278469948983,0.3028140291037851,0.10070359418293978,0.339412939625532,-0.09787590048620955,0.08440652289289159
DE,0.2575018337895276,0.16126865054078462,0.6262815614454986,0.2992319831566656,0.5464940945855309,0.009218718406142168,0.11265025142708952
GE,0.2995583102862118,0.6519077609264804,2.1762299310061457,0.2876315200222587,0.4983220849611776,-0.0634838916273209,0.12084857570267193
MMM,0.31734343085870004,0.4567905698648838,1.4394202792503175,0.2963819935435464,0.463385660141901,0.10583191407193254,0.09140659372672348
EMR,0.2799683940926307,0.24808827890910523,0.8861295922818432,0.38562448847096303,0.6503000171074483,0.008423090389068903,0.14946650416589594
